Timestep,Import_FR_MW,Import_PT_MW
505,7710.184730102708,-4192.255109493015
506,5029.4124315119625,-4051.8318399686596
507,5029.4124315119625,-4051.8318399686596
508,-233.36485231830193,-895.631042108198
509,-233.36485231830193,-895.631042108198
510,7116.23656325569,-3357.7086321818024
511,7116.23656325569,-3357.7086321818024
512,-445.98258677287595,-407.27116521758944
513,-445.98258677287595,-407.27116521758944
514,-9652.894209322214,1071.6171123810782
515,-9652.894209322214,1071.6171123810782
516,-9652.894209322214,-778.4919597829848
517,-9652.894209322214,-778.4919597829848
518,-9652.894209322214,-1159.9371680974418
519,-9652.894209322214,-1159.9371680974418
520,-9652.894209322214,3013.168545065828
521,-9652.894209322214,3013.168545065828
522,3259.4406349658093,1311.4151785748763
523,3259.4406349658093,1311.4151785748763
524,9545.365218218096,-1742.489646064707
525,9545.365218218096,-1742.489646064707
526,9652.894209322214,-465.1731500690112
527,9652.894209322214,-465.1731500690112
528,5466.921181568933,-503.8781326266708
529,5466.921181568933,-503.8781326266708
530,2431.2782316711337,-420.78749887151025
531,2431.2782316711337,-420.78749887151025
532,376.3106694556518,-289.8447367125973
533,376.3106694556518,-289.8447367125973
534,-924.769514657939,-815.6774260578586
535,-924.769514657939,-815.6774260578586
536,-2351.8950297232004,-967.8831746633587
537,-2351.8950297232004,-967.8831746633587
538,-9652.894209322214,-383.65246637206474
539,-9652.894209322214,-383.65246637206474
540,-9652.894209322214,-338.2967559825429
541,-9652.894209322214,-338.2967559825429
542,-9652.894209322214,-4196.981041409206
543,-9652.894209322214,-4196.981041409206
544,1626.6276593239218,-4082.0471069214345
545,1626.6276593239218,-4082.0471069214345
546,9652.894209322214,-4069.2175753616375
547,9652.894209322214,-4069.2175753616375
548,9652.894209322214,-4972.5103504592735
549,9652.894209322214,-4972.5103504592735
550,9652.894209322214,-3561.999053470354
551,9652.894209322214,-3561.999053470354
552,9652.894209322214,-3768.050677515397
553,9652.894209322214,-3768.050677515397
554,9652.894209322214,-3636.238268524001
555,9652.894209322214,-3636.238268524001
556,9652.894209322214,-5444.2943315688335
557,9652.894209322214,-5444.2943315688335
558,9652.894209322214,-1607.247128252422
559,9652.894209322214,-1607.247128252422
560,9346.057485804857,-1861.4234273371003
561,9346.057485804857,-1861.4234273371003
562,-3245.1116176641226,-470.0554923834261
563,-3245.1116176641226,-470.0554923834261
564,-9094.322333780085,-80.9324810445305
565,-9094.322333780085,-80.9324810445305
566,-4497.724129117492,-1304.40771988897
567,-4497.724129117492,-1304.40771988897
568,4427.133101271816,-3930.0327783454213
569,4427.133101271816,-3930.0327783454213
570,9652.894209322214,-2190.2016230227237
571,9652.894209322214,-2190.2016230227237
572,9652.894209322214,-3616.2039980555473
573,9652.894209322214,-3616.2039980555473
574,9652.894209322214,209.56343173454115
575,9652.894209322214,209.56343173454115
576,9652.894209322214,-424.1704612714839
577,9652.894209322214,-424.1704612714839
578,9652.894209322214,-2983.374145955555
579,9652.894209322214,-2983.374145955555
580,9652.894209322214,-133.98549605152584
581,9652.894209322214,-133.98549605152584
582,9652.894209322214,-1560.4147718428503
583,9652.894209322214,-1560.4147718428503
584,9652.894209322214,-1132.6252074203767
585,9652.894209322214,-1132.6252074203767
586,9652.894209322214,-10023.808950005558
587,9652.894209322214,-10023.808950005558
588,9652.894209322214,-9909.12654097431
589,9652.894209322214,-9909.12654097431
590,-9652.894209322214,-504.5779060411114
591,-9652.894209322214,-504.5779060411114
592,4336.719260792953,-1124.633743164066
593,4336.719260792953,-1124.633743164066
594,9652.894209322214,-2525.8719605582264
595,9652.894209322214,-2525.8719605582264
596,9652.894209322214,-4041.903184643603
597,9652.894209322214,-4041.903184643603
598,9652.894209322214,-3393.793302446855
599,9652.894209322214,-3393.793302446855
600,9652.894209322214,-733.3849816179409
601,9652.894209322214,-733.3849816179409
602,9652.894209322214,-1767.5561987795354
603,9652.894209322214,-1767.5561987795354
604,9652.894209322214,-3077.379272615128
605,9652.894209322214,-3077.379272615128
606,9652.894209322214,-2420.5504447022267
607,9652.894209322214,-2420.5504447022267
608,9652.894209322214,-3233.656048100267
609,9652.894209322214,-3233.656048100267
610,242.3812203800935,-1219.2692972400764
611,242.3812203800935,-1219.2692972400764
612,-9652.894209322214,-463.6109274352184
613,-9652.894209322214,-463.6109274352184
614,-9652.894209322214,-1074.092604644131
615,-9652.894209322214,-1074.092604644131
616,8548.930727294473,-3155.629702196491
617,8548.930727294473,-3155.629702196491
618,9652.894209322214,-3230.154587453864
619,9652.894209322214,-3230.154587453864
620,9652.894209322214,-1923.9225043580263
621,9652.894209322214,-1923.9225043580263
622,9652.894209322214,-893.5557633698863
623,9652.894209322214,-893.5557633698863
624,9652.894209322214,-791.0738729189798
625,9652.894209322214,-791.0738729189798
626,9652.894209322214,-3437.0668521231837
627,9652.894209322214,-3437.0668521231837
628,9652.894209322214,-481.1751897008289
629,9652.894209322214,-481.1751897008289
630,9652.894209322214,-2501.8585573610217
631,9652.894209322214,-2501.8585573610217
632,9652.894209322214,-3176.2869237092127
633,9652.894209322214,-3176.2869237092127
634,-1975.8209385498558,-1679.0848575002165
635,-1975.8209385498558,-1679.0848575002165
636,-9652.894209322214,-703.2391757630594
637,-9652.894209322214,-703.2391757630594
638,-9652.894209322214,-2633.280098169631
639,-9652.894209322214,-2633.280098169631
640,-9652.894209322214,117.16447819371024
641,-9652.894209322214,117.16447819371024
642,4628.577808992675,-3166.917677247413
643,4628.577808992675,-3166.917677247413
644,9652.894209322214,-2456.920402078693
645,9652.894209322214,-2456.920402078693
646,9652.894209322214,-2062.9808757605624
647,9652.894209322214,-2062.9808757605624
648,9652.894209322214,-1585.1299263285964
649,9652.894209322214,-1585.1299263285964
650,9652.894209322214,-1581.9781699638115
651,9652.894209322214,-1581.9781699638115
652,9652.894209322214,-4429.782287113396
653,9652.894209322214,-4429.782287113396
654,9652.894209322214,-3474.587088654882
655,9652.894209322214,-3474.587088654882
656,9652.894209322214,-3962.1305791546274
657,9652.894209322214,-3962.1305791546274
658,-9652.894209322214,-1639.6708797089595
659,-9652.894209322214,-1639.6708797089595
660,-9652.894209322214,-7193.913258784112
661,-9652.894209322214,-7193.913258784112
662,-9652.894209322214,-8930.190850209252
663,-9652.894209322214,-8930.190850209252
664,-9652.894209322214,-3489.659220719881
665,-9652.894209322214,-3489.659220719881
666,-1783.1925901853429,-3935.7733935231427
667,-1783.1925901853429,-3935.7733935231427
668,8980.62132771326,-6031.718079878381
669,8980.62132771326,-6031.718079878381
670,9652.894209322214,-2932.7116226291473
671,9652.894209322214,-2932.7116226291473
672,9652.894209322214,-5354.434582927108
673,9652.894209322214,-5354.434582927108
674,6699.231320316376,-5249.265554953192
675,6699.231320316376,-5249.265554953192
676,4834.437897217381,-5227.708295948671
677,4834.437897217381,-5227.708295948671
678,9652.894209322214,-7016.221705642258
679,9652.894209322214,-7016.221705642258
680,7865.514136655626,-5434.1286823926
681,7865.514136655626,-5434.1286823926
682,-2949.806969457448,-3352.5825916664744
683,-2949.806969457448,-3352.5825916664744
684,-9652.894209322214,-2836.890045908207
685,-9652.894209322214,-2836.890045908207
686,-8073.571060883751,-4323.083994324999
687,-8073.571060883751,-4323.083994324999
688,-9652.894209322214,-3894.9867190173045
689,-9652.894209322214,-3894.9867190173045
690,7444.240397888412,-5868.875411764371
691,7444.240397888412,-5868.875411764371
692,9652.894209322214,-3958.973318563525
693,9652.894209322214,-3958.973318563525
694,9652.894209322214,-3481.780503905722
695,9652.894209322214,-3481.780503905722
696,9652.894209322214,-2377.520549335799
697,9652.894209322214,-2377.520549335799
698,9652.894209322214,-5412.62968982804
699,9652.894209322214,-5412.62968982804
700,9652.894209322214,-4603.020825121748
701,9652.894209322214,-4603.020825121748
702,8534.336712570412,-4646.731639257283
703,8534.336712570412,-4646.731639257283
704,3988.5377740083914,-5667.375615721308
705,3988.5377740083914,-5667.375615721308
