Model Version,Region,Unit,Year,Value
REPowerEU++ v1.2.0,NL,€/tCO2,2040,400.64
REPowerEU++ v1.2.0,NL,€/tCO2,2045,517.66
REPowerEU++ v1.2.0,NL,€/tCO2,2050,620.39
REPowerEU++ v1.2.0,NL,€/tCO2,2055,709.83
REPowerEU++ v1.2.0,NO,€/tCO2,2018,70.87
REPowerEU++ v1.2.0,NO,€/tCO2,2025,227.99
REPowerEU++ v1.2.0,NO,€/tCO2,2030,192.99
REPowerEU++ v1.2.0,NO,€/tCO2,2035,291.68
REPowerEU++ v1.2.0,NO,€/tCO2,2040,377.74
REPowerEU++ v1.2.0,NO,€/tCO2,2045,546.83
REPowerEU++ v1.2.0,NO,€/tCO2,2050,684.93
REPowerEU++ v1.2.0,NO,€/tCO2,2055,724.55
REPowerEU++ v1.2.0,NONEU_Balkan,€/tCO2,2018,147.71
REPowerEU++ v1.2.0,NONEU_Balkan,€/tCO2,2025,233
REPowerEU++ v1.2.0,NONEU_Balkan,€/tCO2,2030,232.7
REPowerEU++ v1.2.0,NONEU_Balkan,€/tCO2,2035,310.85
REPowerEU++ v1.2.0,NONEU_Balkan,€/tCO2,2040,396.3
REPowerEU++ v1.2.0,NONEU_Balkan,€/tCO2,2045,525.71
REPowerEU++ v1.2.0,NONEU_Balkan,€/tCO2,2050,665.04
REPowerEU++ v1.2.0,NONEU_Balkan,€/tCO2,2055,800.74
REPowerEU++ v1.2.0,PL,€/tCO2,2018,188.65
REPowerEU++ v1.2.0,PL,€/tCO2,2025,231.16
REPowerEU++ v1.2.0,PL,€/tCO2,2030,211.91
REPowerEU++ v1.2.0,PL,€/tCO2,2035,321.17
REPowerEU++ v1.2.0,PL,€/tCO2,2040,398.49
