Date,Price,Open,High,Low,Vol.,Change %
1/23/2025,79.06,77.7,80.05,77.7,6.36K,2.29%
1/22/2025,77.29,78.29,78.29,76.87,0.88K,-1.67%
1/21/2025,78.6,78.3,78.68,76.33,1.44K,0.36%
1/20/2025,78.32,77.4,78.37,76.93,1.87K,0.93%
1/17/2025,77.6,76.23,78.57,76.23,1.15K,1.19%
1/16/2025,76.69,75.93,76.75,75.81,2.27K,0.46%
1/15/2025,76.34,76.15,77.22,76.15,0.33K,1.30%
1/14/2025,75.36,75.22,75.59,74.24,0.98K,0.03%
1/13/2025,75.34,74,75.35,74,0.13K,2.73%
1/10/2025,73.34,71.68,73.6,71.06,0.61K,1.89%
1/9/2025,71.98,71,72.19,70.1,0.32K,1.81%
1/8/2025,70.7,72.62,72.68,70.64,0.30K,-2.56%
1/7/2025,72.56,72.34,73.01,71.52,0.68K,-0.43%
1/6/2025,72.87,73.99,73.99,72.48,0.11K,-2.12%
1/3/2025,74.45,73.94,74.7,73.61,0.62K,0.96%
1/2/2025,73.74,72.46,73.86,70.84,0.38K,3.03%
12/31/2024,71.57,70.88,72.09,70.88,0.19K,1.40%
12/30/2024,70.58,69.53,70.64,69.05,0.57K,0.61%
12/27/2024,70.15,68.97,70.38,68.76,0.38K,3.04%
12/24/2024,68.08,68.13,68.57,67.78,0.16K,-0.31%
12/23/2024,68.29,66.38,68.74,66.36,0.86K,2.15%
12/20/2024,66.85,67,67,66.1,2.54K,0.74%
12/19/2024,66.36,64.1,66.65,63.59,1.67K,4.34%
12/18/2024,63.6,63.12,64.27,62.98,5.59K,1.02%
12/17/2024,62.96,63.66,64.46,62.89,1.19K,-1.58%
12/16/2024,63.97,64.67,64.81,63.52,0.95K,-1.75%
12/13/2024,65.11,66.64,67.29,64.82,5.67K,-2.54%
12/12/2024,66.81,69.23,69.43,66.28,7.39K,-3.68%
12/11/2024,69.36,68.75,70.16,68.68,5.78K,0.68%
12/10/2024,68.89,66.86,69.37,66.86,2.25K,3.80%
12/9/2024,66.37,68.55,68.7,65.93,47.07K,-2.84%
12/6/2024,68.31,67.25,68.74,66.92,29.00K,1.44%
12/5/2024,67.34,67.81,68.69,66.91,28.10K,-0.77%
12/4/2024,67.86,68.01,68.28,67.28,29.53K,-0.92%
12/3/2024,68.49,68.9,69.25,67.85,29.00K,-0.49%
12/2/2024,68.83,68.55,70.14,68.1,33.72K,0.63%
11/29/2024,68.4,67.85,68.54,67.13,22.28K,1.14%
11/28/2024,67.63,68.13,68.91,67.53,25.89K,-1.23%
11/27/2024,68.47,69.24,69.38,67.7,26.00K,-1.10%
11/26/2024,69.23,69.7,69.75,68.25,34.26K,-0.90%
11/25/2024,69.86,69.75,71.54,69.24,32.35K,0.85%
11/22/2024,69.27,70.49,70.96,69.01,39.97K,-1.03%
11/21/2024,69.99,68.46,70.78,68.45,40.08K,2.35%
11/20/2024,68.38,68.02,69.4,67.89,27.20K,0.37%
11/19/2024,68.13,69.47,69.83,67.84,35.33K,-1.99%
11/18/2024,69.51,67.28,70.03,66.96,38.33K,2.21%
11/15/2024,68.01,68.25,68.8,66.75,32.70K,-0.38%
11/14/2024,68.27,66.72,68.46,66.61,37.66K,2.96%
11/13/2024,66.31,67.12,67.24,65.39,34.37K,-1.81%
11/12/2024,67.53,67.5,67.77,65.76,33.59K,-0.06%
11/11/2024,67.57,67.27,68.8,66.92,32.43K,-0.66%
11/8/2024,68.02,66.25,68.28,65.96,36.64K,3.00%
11/7/2024,66.04,63.78,66.29,63.65,30.69K,3.58%
11/6/2024,63.76,64,64.19,62.37,32.21K,-0.84%
11/5/2024,64.3,65.46,65.69,64.1,24.33K,-1.41%
11/4/2024,65.22,64.09,65.89,64,25.33K,2.11%
11/1/2024,63.87,63.78,64.96,63.22,24.86K,-1.10%
