Timestep,Import_FR_MW,Import_PT_MW
83,2800.0,-2979.742353889
84,2800.0,-3046.3183823292493
85,2800.0,-3046.3183823292493
86,2800.0,-2884.98828899675
87,2800.0,-2884.98828899675
88,2800.0,-2331.0450309037496
89,2800.0,-2331.0450309037496
90,2800.0,-2353.296374086499
91,2800.0,-2353.296374086499
92,2800.0,-2619.0882505952495
93,2800.0,-2619.0882505952495
94,2800.0,-2588.161951984749
95,2800.0,-2588.161951984749
96,2800.0,-2460.7647302975006
97,2800.0,-2460.7647302975006
98,2800.0,-2560.2301829815
99,2800.0,-2560.2301829815
100,2800.0,-2547.94700189625
101,2800.0,-2547.94700189625
102,2800.0,-3431.084778944249
103,2800.0,-3431.084778944249
104,2800.0,-2343.5547657827497
105,2800.0,-2343.5547657827497
106,2800.0,-4124.58164554725
107,2800.0,-4124.58164554725
108,2800.0,-4200.0
109,2800.0,-4200.0
110,2800.0,-4200.0
111,2800.0,-4200.0
112,2800.0,-4200.0
113,2800.0,-4200.0
114,2800.0,-2212.9141967452497
115,2800.0,-2212.9141967452497
116,2800.0,-2222.500126517499
117,2800.0,-2222.500126517499
118,2800.0,-1751.9678247645006
119,2800.0,-1751.9678247645006
120,2800.0,-1434.8839060345008
121,2800.0,-1434.8839060345008
122,2800.0,-2918.357288562999
123,2800.0,-2918.357288562999
124,2800.0,-2748.5686562782494
125,2800.0,-2748.5686562782494
126,2800.0,-3331.4150291477495
127,2800.0,-3331.4150291477495
128,2800.0,-4048.9609413840003
129,2800.0,-4048.9609413840003
130,2800.0,-4099.34435006825
131,2800.0,-4099.34435006825
132,2800.0,-4200.0
133,2800.0,-4200.0
134,2800.0,-4200.0
135,2800.0,-4200.0
136,2800.0,-3400.1320326267505
137,2800.0,-3400.1320326267505
138,2800.0,-2730.4329697494995
139,2800.0,-2730.4329697494995
140,2800.0,-3143.4526899782486
141,2800.0,-3143.4526899782486
142,2800.0,-2926.836493014499
143,2800.0,-2926.836493014499
144,2800.0,-2613.18878361975
145,2800.0,-2613.18878361975
146,2800.0,-2593.71685192075
147,2800.0,-2593.71685192075
148,2800.0,-2467.7574931769514
149,2800.0,-2467.7574931769514
150,2800.0,-4200.0
151,2800.0,-4200.0
152,2800.0,-4200.0
153,2800.0,-4200.0
154,2800.0,-4200.0
155,2800.0,-4200.0
156,-2800.0,-4200.0
157,-2800.0,-4200.0
158,2800.0,-4200.0
159,2800.0,-4200.0
160,-2800.0,-4200.0
161,-2800.0,-4200.0
162,2800.0,-4200.0
163,2800.0,-4200.0
164,2800.0,-4200.0
165,2800.0,-4200.0
166,2800.0,-4200.0
167,2800.0,-4200.0
168,2800.0,-250.98024602562873
169,2800.0,-250.98024602562873
170,2800.0,-2197.0757898067504
171,2800.0,-2197.0757898067504
172,2800.0,-2264.7970484340003
173,2800.0,-2264.7970484340003
174,2800.0,-3463.7747189029396
175,2800.0,-3463.7747189029396
176,2800.0,-4197.162207448999
177,2800.0,-4197.162207448999
178,2800.0,-4200.0
179,2800.0,-4200.0
180,2800.0,-4200.0
181,2800.0,-4200.0
182,2800.0,-4200.0
183,2800.0,-4200.0
184,2800.0,-3601.6067129434996
185,2800.0,-3601.6067129434996
186,2800.0,-4200.0
187,2800.0,-4200.0
188,2800.0,-4200.0
189,2800.0,-4200.0
190,2800.0,-4200.0
191,2800.0,-4200.0
192,2800.0,-946.5512005852502
193,2800.0,-946.5512005852502
194,2800.0,-787.4601898054998
195,2800.0,-787.4601898054998
