rep,t,b,pES,pFR,pPT,fFR,fPT,coal,peak,nuc,res,turb,shed,dem
5,45,9,29.554096963896587,24.68168139498719,29.554096963896587,-5652.894,-4703.305463290195,0.0,0.0,0.0,15181.563513630002,801.8087118894746,0.0,26832.571688809672
5,45,10,29.558,24.68168139498719,29.558,-5652.894,-2115.250707216569,0.0,0.0,2106.593555173594,9082.56106863,6940.97,0.0,26391.269331020165
5,45,11,29.558,24.68168139498719,29.558,-5652.894,-3182.2356433036,0.0,0.0,200.34490484119578,7074.8948886299995,6940.97,0.0,27865.985981118116
5,45,12,29.558,24.68168139498719,29.558,-5652.894,-2627.09608323273,0.0,0.0,0.0,5674.9368686299995,6940.97,0.0,27956.76073374901
5,45,13,29.558,24.68168139498719,29.558,-5652.894,638.0864234413766,0.0,0.0,7034.163672787599,4833.3620791349995,6940.97,0.0,24316.303328481223
5,45,14,29.558,24.68168139498719,29.558,-5652.894,876.4832286041551,0.0,0.0,5276.413020496904,4255.118549135,6940.97,0.0,21741.91234102775
5,45,15,29.558,24.68168139498719,29.558,-5652.894,717.980683466124,0.0,0.0,3877.0326239684537,3768.1766291349995,6940.97,0.0,20014.09256963733
5,45,16,29.558,21.374336088058907,29.558,-5652.894,420.6062643437846,0.0,0.0,2955.68016052279,5089.866259135,6940.97,0.0,20711.804155314006
5,45,17,29.554096963896587,-0.0,29.554096963896587,-5652.894,-4401.14709366243,0.0,0.0,0.0,13287.998034135,2024.7956143525098,0.0,25859.834742149942
5,45,18,25.597228,-0.0,25.597228,-5652.894,-2907.350183144855,0.0,0.0,0.0,19803.038704135004,0.0,0.0,28473.91323061145
5,45,19,25.597228,-0.0,25.597228,-5652.894,-4428.604481778173,0.0,0.0,0.0,19962.007359135005,0.0,0.0,28390.91562041051
5,45,20,25.597228,-0.0,25.597228,-5652.894,-7266.32320316834,0.0,0.0,0.0,16840.103809135002,0.0,0.0,27778.960365680377
5,45,21,29.554096963896587,24.68168139498719,29.554096963896587,-5652.894,-7859.789700669189,0.0,0.0,0.0,12537.591089135001,725.0447334612563,0.0,27268.319523265447
5,45,22,29.558,24.68168139498719,29.558,-5652.894,-6387.2228383494985,0.0,0.0,0.0,7316.881289135,6940.97,0.0,26790.9681274845
5,45,23,29.558,24.68168139498719,29.558,-5652.894,-8263.886041352915,0.0,0.0,0.0,5822.462854134999,6940.97,0.0,28121.257868092845
5,45,24,29.558,24.68168139498719,29.558,-5652.894,-8123.087569126751,0.0,0.0,0.0,5396.388674134999,6940.97,0.0,28242.638560665575
5,45,25,29.558,24.68168139498719,29.558,-5652.894,-6452.73170998177,0.0,0.0,0.0,4836.054829387499,6940.97,0.0,24375.65053936927
5,45,26,29.554096963896587,24.68168139498719,29.554096963896587,-5652.894,-7139.304492855232,0.0,0.0,0.0,4744.753219387499,3731.551160299843,0.0,21761.502872542573
5,45,27,29.554096963896587,24.68168139498719,29.554096963896587,-5652.894,-7559.6470166307445,0.0,0.0,0.0,4759.970154387499,1552.0902683108961,0.0,20017.60143932914
5,45,28,26.10507842,-0.0,26.10507842,-5652.894,-8438.756169739094,0.0,0.0,0.0,6081.6597843875,0.0,0.0,20666.309954126595
5,45,29,25.597228,-0.0,-0.0,-5652.894,-13003.891,0.0,0.0,0.0,14376.839539387502,0.0,0.0,25880.374216063625
5,45,30,-0.0,-0.0,-0.0,-5652.894,-11940.172201603578,0.0,0.0,0.0,19093.62369159263,0.0,0.0,28510.68989319621
5,45,31,-0.0,-0.0,-0.0,-5652.894,-12008.468428001604,0.0,0.0,0.0,18914.63264774201,0.0,0.0,28399.995075743616
5,45,32,-0.0,-0.0,-0.0,-5652.894,-11915.602360754525,0.0,0.0,0.0,18297.995403517496,0.0,0.0,27690.49176427202
5,45,33,25.597228,21.374336088058907,25.597228,-5652.894,-8572.618393511899,0.0,0.0,0.0,16682.7720443875,0.0,0.0,27169.089936451805
5,45,34,29.558,21.374336088058907,29.558,-5652.894,-5398.28030933166,0.0,0.0,0.0,8225.6292943875,6940.97,0.0,26710.77360371916
5,45,35,29.558,21.374336088058907,29.558,-5652.894,-1195.8841736510499,0.0,0.0,0.0,5993.917904387499,6940.97,0.0,27906.980649229736
5,45,36,29.558,21.374336088058907,29.558,-5652.894,-1579.390572618886,0.0,0.0,0.0,5231.695139387498,6940.97,0.0,28073.949712006386
5,45,37,29.558,21.374336088058907,29.558,-5652.894,-628.6816026942181,0.0,0.0,0.0,4461.0102689825,6940.97,0.0,24242.382495975096
5,45,38,29.558,21.374336088058907,29.558,-5652.894,274.1917062140857,0.0,0.0,0.0,3761.031258982499,6940.97,0.0,21684.582439346243
5,45,39,29.558,21.374336088058907,29.558,-5652.894,-2448.3810377266373,0.0,0.0,0.0,3121.9199889824995,6940.97,0.0,19937.245648046766
5,45,40,29.558,-0.0,29.558,-5652.894,-851.4236112413187,0.0,0.0,0.0,4211.227548982501,6940.97,0.0,20494.782674174217
5,45,41,29.554096963896587,-0.0,29.554096963896587,-5652.894,-5063.1310435210735,0.0,0.0,0.0,11727.914668982503,2704.4625245934703,0.0,25641.40223709705
5,45,42,25.597228,-0.0,25.597228,-5652.894,-10029.487418587505,0.0,0.0,0.0,19080.775233982506,0.0,0.0,28106.443406638686
5,45,43,12.828,-0.0,12.828,-5652.894,-10139.334683073994,0.0,0.0,0.0,20090.516233982504,0.0,0.0,28085.354330887305
5,45,44,25.597228,-0.0,25.597228,-5652.894,-9566.577455669338,0.0,0.0,0.0,19270.743148982503,0.0,0.0,27451.974535414585
5,45,45,25.597228,24.68168139498719,25.597228,-5652.894,-7008.739821113357,0.0,0.0,0.0,13839.344438982502,0.0,0.0,26993.97826009586
5,45,46,29.558,24.68168139498719,29.558,-5652.894,-5730.042247721464,0.0,0.0,0.0,6085.5818139825,6940.97,0.0,26440.423940192337
