date,hour,branch_id,branch_name,from_bus,to_bus,from_bus_id,to_bus_id,from_nuts3,to_nuts3,asset_class,reinforcement_eligible,diagnostic_multiplier,capacity_policy,base_line_rating_factor,flow_mw,flow_mvar,limit_mw,loading_pct
2024-08-22,11,583,LTGES0405b,273,345,ES00276,ES00348,ES620,ES620,intra_nuts3,true,10.0,intra_diagnostic,0.8,100.55,0.0,28599.62,0.4
2024-08-22,20,4,LTGES0002b,729,1086,ES00738,ES01104,ES300,ES300,intra_nuts3,true,10.0,intra_diagnostic,0.8,-27.55,0.0,7864.9,0.4
2024-08-20,8,2203,TR_39a719b5,817,818,ES00826,ES00827,ES618,ES618,intra_nuts3,true,10.0,intra_diagnostic,0.8,-4.02,0.0,1600.0,0.3
2024-08-22,11,311,LTGES0222a,244,120,ES00247,ES00120,ES523,ES523,intra_nuts3,true,10.0,intra_diagnostic,0.8,-10.35,0.0,4060.48,0.3
2024-08-20,7,811,LTGES0554b,867,379,ES00876,ES00382,ES514,ES514,intra_nuts3,true,10.0,intra_diagnostic,0.8,-19.69,0.0,7864.9,0.3
2025-06-28,17,1989,LTGES1308,1178,661,ES01198,ES00667,ES242,ES242,intra_nuts3,true,10.0,intra_diagnostic,0.8,10.06,0.0,3932.45,0.3
2024-08-21,19,1846,LTGES1210a,1131,1129,ES01151,ES01149,ES422,ES422,intra_nuts3,true,10.0,intra_diagnostic,0.8,72.59,0.0,28599.62,0.3
2025-06-29,13,1663,LTGES1096a,341,1160,ES00344,ES01180,ES615,ES615,intra_nuts3,true,10.0,intra_diagnostic,0.8,20.08,0.0,7864.9,0.3
2024-08-22,19,1206,LTGES0794b,184,182,ES00187,ES00185,ES612,ES612,intra_nuts3,true,10.0,intra_diagnostic,0.8,19.78,0.0,7864.9,0.3
2024-08-22,11,313,LTGES0222c,244,120,ES00247,ES00120,ES523,ES523,intra_nuts3,true,10.0,intra_diagnostic,0.8,-10.35,0.0,4060.48,0.3
2024-08-20,9,188,LTGES0138a,170,101,ES00173,ES00101,ES120,ES120,intra_nuts3,true,10.0,intra_diagnostic,0.8,20.45,0.0,7864.9,0.3
2024-08-21,13,521,LTGES0362a,807,325,ES00816,ES00328,ES431,ES431,intra_nuts3,true,10.0,intra_diagnostic,0.8,31.14,0.0,11797.34,0.3
2025-06-24,3,1912,LTGES1251a,1148,869,ES01168,ES00878,ES512,ES512,intra_nuts3,true,10.0,intra_diagnostic,0.8,-80.87,0.0,28599.62,0.3
2024-08-20,11,1603,LTGES1054b,1052,140,ES01066,ES00143,ES300,ES300,intra_nuts3,true,10.0,intra_diagnostic,0.8,-19.96,0.0,7864.9,0.3
2024-08-20,8,1762,LTGES1157a,598,484,ES00603,ES00487,ES300,ES300,intra_nuts3,true,10.0,intra_diagnostic,0.8,-6.78,0.0,2706.99,0.3
2024-08-22,11,315,LTGES0223b,244,120,ES00247,ES00120,ES523,ES523,intra_nuts3,true,10.0,intra_diagnostic,0.8,-10.35,0.0,4060.48,0.3
2024-08-20,19,2015,LTGES1327c,142,679,ES00145,ES00686,ES300,ES300,intra_nuts3,true,10.0,intra_diagnostic,0.8,42.13,0.0,15729.79,0.3
2024-08-20,11,1214,LTGES0798,182,184,ES00185,ES00187,ES612,ES612,intra_nuts3,true,10.0,intra_diagnostic,0.8,10.09,0.0,3932.45,0.3
2024-08-21,19,1606,LTGES1056a,260,233,ES00263,ES00236,ES522,ES522,intra_nuts3,true,10.0,intra_diagnostic,0.8,20.5,0.0,7864.9,0.3
2024-08-21,19,1607,LTGES1056b,260,233,ES00263,ES00236,ES522,ES522,intra_nuts3,true,10.0,intra_diagnostic,0.8,20.5,0.0,7864.9,0.3
2024-08-22,11,314,LTGES0223a,244,120,ES00247,ES00120,ES523,ES523,intra_nuts3,true,10.0,intra_diagnostic,0.8,-10.35,0.0,4060.48,0.3
2024-08-20,19,2016,LTGES1327d,142,679,ES00145,ES00686,ES300,ES300,intra_nuts3,true,10.0,intra_diagnostic,0.8,42.13,0.0,15729.79,0.3
2024-08-20,8,1950,LTGES1275,1154,655,ES01174,ES00661,ES521,ES521,intra_nuts3,true,10.0,intra_diagnostic,0.8,9.98,0.0,3932.45,0.3
2024-08-22,4,1609,LTGES1057b,259,232,ES00262,ES00235,ES522,ES522,intra_nuts3,true,10.0,intra_diagnostic,0.8,-7.3,0.0,2706.99,0.3
2024-08-20,8,1998,LTGES1316b,566,1183,ES00571,ES01203,ES130,ES130,intra_nuts3,true,10.0,intra_diagnostic,0.8,19.67,0.0,7864.9,0.3
2025-06-26,21,1834,LTGES1206a,1128,1129,ES01148,ES01149,ES422,ES422,intra_nuts3,true,10.0,intra_diagnostic,0.8,-76.01,0.0,28599.62,0.3
2025-06-27,17,1874,LTGES1228b,184,627,ES00187,ES00633,ES612,ES612,intra_nuts3,true,10.0,intra_diagnostic,0.8,-20.13,0.0,7864.9,0.3
2024-08-21,11,708,LTGES0485,843,842,ES00852,ES00851,ES432,ES432,intra_nuts3,true,10.0,intra_diagnostic,0.8,-10.57,0.0,3932.45,0.3
2024-08-22,12,1722,LTGES1132a,182,627,ES00185,ES00633,ES612,ES612,intra_nuts3,true,10.0,intra_diagnostic,0.8,21.0,0.0,7864.9,0.3
2024-08-22,7,1463,LTGES0958b,580,568,ES00585,ES00573,ES213,ES213,intra_nuts3,true,10.0,intra_diagnostic,0.8,81.55,0.0,28599.62,0.3
2024-08-22,11,1509,LTGES0991b,1022,588,ES01036,ES00593,ES211,ES211,intra_nuts3,true,10.0,intra_diagnostic,0.8,-22.13,0.0,7864.9,0.3
2024-08-21,19,1847,LTGES1210b,1131,1129,ES01151,ES01149,ES422,ES422,intra_nuts3,true,10.0,intra_diagnostic,0.8,72.59,0.0,28599.62,0.3
2024-08-20,8,1646,LTGES1085a,613,501,ES00618,ES00504,ES617,ES617,intra_nuts3,true,10.0,intra_diagnostic,0.8,-20.79,0.0,7864.9,0.3
2024-08-20,8,1763,LTGES1157b,598,484,ES00603,ES00487,ES300,ES300,intra_nuts3,true,10.0,intra_diagnostic,0.8,-6.78,0.0,2706.99,0.3
2024-08-21,13,2003,LTGES1320a,421,1230,ES00424,ES01253,ES431,ES431,intra_nuts3,true,10.0,intra_diagnostic,0.8,-19.99,0.0,7864.9,0.3
2024-08-20,8,1997,LTGES1316a,566,1183,ES00571,ES01203,ES130,ES130,intra_nuts3,true,10.0,intra_diagnostic,0.8,19.67,0.0,7864.9,0.3
2024-08-22,4,1608,LTGES1057a,259,232,ES00262,ES00235,ES522,ES522,intra_nuts3,true,10.0,intra_diagnostic,0.8,-7.3,0.0,2706.99,0.3
