Source:_See_reference_Generator.xlsx	Unnamed:_1	Unnamed:_2
ES614	CCS	800000.0
ES614	Lignite	200000.0
ES614	Hcoal	0.0
ES614	Coal	400000.0
ES614	Gas_OCGT	200000.0
ES614	Oil	200000.0
ES614	Bio	200000.0
ES614	Geo	0.0
ES614	Nuclear	200000.0
ES614	Hydro_reg	0.0
ES614	Hydro_ror	84.004
ES614	Wave	0.0
ES614	Wind_onshr	926.501
ES614	Wind_offshr_grounded	0.0
ES614	Wind_offshr_floating	0.0
ES614	Solar	3658.749
ES614	Waste	714.0
ES614	Gas_CCGT	200000.0
ES615	CCS	800000.0
ES615	Lignite	200000.0
ES615	Hcoal	0.0
ES615	Coal	400000.0
ES615	Gas_OCGT	200000.0
ES615	Oil	200000.0
ES615	Bio	200000.0
ES615	Geo	0.0
ES615	Nuclear	200000.0
ES615	Hydro_reg	0.0
ES615	Hydro_ror	12.968
ES615	Wave	0.0
ES615	Wind_onshr	2139.123
ES615	Wind_offshr_grounded	0.0
ES615	Wind_offshr_floating	0.0
ES615	Solar	3868.518
ES615	Waste	714.0
ES615	Gas_CCGT	200000.0
ES616	CCS	800000.0
ES616	Lignite	200000.0
ES616	Hcoal	0.0
ES616	Coal	400000.0
ES616	Gas_OCGT	200000.0
ES616	Oil	200000.0
ES616	Bio	200000.0
ES616	Geo	0.0
ES616	Nuclear	200000.0
ES616	Hydro_reg	0.0
ES616	Hydro_ror	129.857
ES616	Wave	0.0
ES616	Wind_onshr	301.886
ES616	Wind_offshr_grounded	0.0
ES616	Wind_offshr_floating	0.0
ES616	Solar	968.571
ES616	Waste	714.0
ES616	Gas_CCGT	200000.0
ES617	CCS	800000.0
ES617	Lignite	200000.0
ES617	Hcoal	0.0
ES617	Coal	400000.0
ES617	Gas_OCGT	200000.0
ES617	Oil	200000.0
ES617	Bio	200000.0
ES617	Geo	0.0
ES617	Nuclear	200000.0
ES617	Hydro_reg	287.859
ES617	Hydro_ror	45.957
ES617	Wave	0.0
ES617	Wind_onshr	2093.538
ES617	Wind_offshr_grounded	0.0
ES617	Wind_offshr_floating	0.0
ES617	Solar	1115.364
ES617	Waste	714.0
ES617	Gas_CCGT	200000.0
ES618	CCS	800000.0
ES618	Lignite	200000.0
ES618	Hcoal	0.0
ES618	Coal	400000.0
ES618	Gas_OCGT	200000.0
ES618	Oil	200000.0
ES618	Bio	200000.0
ES618	Geo	0.0
ES618	Nuclear	200000.0
ES618	Hydro_reg	0.0
ES618	Hydro_ror	60.17
ES618	Wave	0.0
ES618	Wind_onshr	3238.33
ES618	Wind_offshr_grounded	0.0
ES618	Wind_offshr_floating	0.0
ES618	Solar	16180.542
ES618	Waste	714.0
ES618	Gas_CCGT	200000.0
ES620	CCS	800000.0
ES620	Lignite	200000.0
ES620	Hcoal	0.0
ES620	Coal	400000.0
ES620	Gas_OCGT	200000.0
ES620	Oil	200000.0
ES620	Bio	200000.0
ES620	Geo	0.0
ES620	Nuclear	200000.0
ES620	Hydro_reg	0.0
ES620	Hydro_ror	0.0
ES620	Wave	0.0
ES620	Wind_onshr	2430.018
ES620	Wind_offshr_grounded	0.0
ES620	Wind_offshr_floating	0.0
ES620	Solar	5812.612
ES620	Waste	714.0
ES620	Gas_CCGT	200000.0
