unit_id,bus_id,region,primary_fuel,technology,cap_2024_mw,factor,cap_scen_mw
G0559,ES00726,ES413,Solar,PV,2.3,0.7392233928130496,1.700213803470014
G0560,ES00728,ES418,Solar,PV,8.7,0.6928539299231395,6.027829190331314
G0561,ES00730,ES413,Solar,PV,6.699999999999999,0.7392233928130496,4.952796731847432
G0562,ES00731,ES413,Solar,PV,1.7,0.7392233928130496,1.2566797677821844
G0568,ES00740,ES220,Solar,PV,1.1,0.7758007378180574,0.8533808115998631
G0571,ES00747,ES414,Solar,PV,2.7,1.0677399578060283,2.8828978860762766
G0573,ES00758,ES522,Solar,PV,19.1,24.412140923484362,466.2718916385513
G0574,ES00759,ES522,Solar,PV,19.9,24.412140923484362,485.8016043773388
G0575,ES00760,ES522,Solar,PV,4.3,24.412140923484362,104.97220597098276
G0578,ES00762,ES523,Solar,PV,21.6,24.412136742852546,527.302153645615
G0579,ES00766,ES522,Solar,PV,6.3,24.412140923484362,153.7964878179515
G0581,ES00772,ES120,Solar,PV,50.0,0.0,0.0
G0582,ES00776,ES617,Solar,PV,7.2,4.434846911038422,31.93089775947664
G0584,ES00782,ES243,Solar,PV,8.3,7.767516796977641,64.47038941491442
G0585,ES00784,ES532,Solar,PV,12.6,7.096402052144194,89.41466585701684
G0588,ES00785,ES413,Solar,PV,5.0,0.7392233928130496,3.696116964065248
G0601,ES00810,ES415,Solar,PV,53.8,0.6928539350490377,37.275541705638226
G0604,ES00816,ES431,Solar,PV,12.899999999999999,0.781903826885529,10.086559366823323
G0607,ES00819,ES431,Solar,PV,302.7,0.781903826885529,236.6822883982496
G0608,ES00820,ES431,Solar,PV,62.9,0.781903826885529,49.18175071109977
G0610,ES00822,ES617,Solar,PV,7.0,4.434846911038422,31.043928377268955
G0611,ES00823,ES618,Solar,PV,10.0,1.4208994820803449,14.208994820803449
G0612,ES00825,ES618,Solar,PV,424.0,1.4208994820803449,602.4613804020662
G0613,ES00827,ES618,Solar,PV,123.7,1.4208994820803449,175.76526593333867
G0614,ES00828,ES618,Solar,PV,508.1,1.4208994820803449,721.9590268450232
G0615,ES00829,ES618,Solar,PV,6.0,1.4208994820803449,8.52539689248207
G0616,ES00832,ES618,Solar,PV,50.0,1.4208994820803449,71.04497410401724
G0617,ES00834,ES618,Solar,PV,2.1,1.4208994820803449,2.9838889123687244
G0621,ES00835,ES618,Solar,PV,146.7,1.4208994820803449,208.44595402118657
G0622,ES00836,ES620,Solar,PV,124.2,3.3843446853283017,420.33560991777506
G0623,ES00837,ES620,Solar,PV,3.6,3.3843446853283017,12.183640867181886
G0624,ES00838,ES620,Solar,PV,2.6,3.3843446853283017,8.799296181853585
G0625,ES00841,ES523,Solar,PV,2.0,24.412136742852546,48.82427348570509
G0628,ES00843,ES514,Solar,PV,1.4,115.725023626342,162.01503307687878
