date,hour,country,bus_id,da_share_mw,redispatch_mw,delta_mw,lower_bound_mw,upper_bound_mw
2024-08-26,5,PT,ES00818,-31.605,-0.0,31.605,-1429.981,0.0
2024-08-26,6,PT,ES00277,-119.839,-0.0,119.839,-11439.849,0.0
2024-08-26,6,FR,ES00859,3999.719,3578.771,-420.948,0.0,4629.981
2024-08-26,6,PT,ES00813,-4.119,-0.0,4.119,-393.245,0.0
2024-08-26,6,PT,ES01092,-14.98,-168.898,-153.918,-1429.981,0.0
2024-08-26,6,PT,ES00817,-14.98,-0.0,14.98,-1429.981,0.0
2024-08-26,6,FR,ES00742,347.435,402.182,54.748,0.0,402.182
2024-08-26,6,FR,ES01126,1976.517,2287.97,311.453,0.0,2287.97
2024-08-26,6,FR,ES00981,347.435,402.182,54.748,0.0,402.182
2024-08-26,6,PT,ES00818,-14.98,-0.0,14.98,-1429.981,0.0
2024-08-26,7,PT,ES00277,0.0,0.0,0.0,0.0,0.0
2024-08-26,7,FR,ES00859,3759.73,3178.495,-581.235,0.0,4629.981
2024-08-26,7,PT,ES00813,0.0,0.0,0.0,0.0,0.0
2024-08-26,7,PT,ES01092,0.0,0.0,0.0,0.0,0.0
2024-08-26,7,PT,ES00817,0.0,0.0,0.0,0.0,0.0
2024-08-26,7,FR,ES00742,326.588,402.182,75.594,0.0,402.182
2024-08-26,7,FR,ES01126,1857.923,2287.97,430.047,0.0,2287.97
2024-08-26,7,FR,ES00981,326.588,402.182,75.594,0.0,402.182
2024-08-26,7,PT,ES00818,0.0,0.0,0.0,0.0,0.0
2024-08-26,8,PT,ES00277,-2781.034,-0.0,2781.034,-11439.849,0.0
2024-08-26,8,FR,ES00859,3330.977,2463.38,-867.597,0.0,4629.981
2024-08-26,8,PT,ES00813,-95.598,-0.0,95.598,-393.245,0.0
2024-08-26,8,PT,ES01092,-347.629,-1429.981,-1082.352,-1429.981,0.0
2024-08-26,8,PT,ES00817,-347.629,-1059.557,-711.928,-1429.981,0.0
2024-08-26,8,FR,ES00742,289.344,402.182,112.838,0.0,402.182
2024-08-26,8,FR,ES01126,1646.049,2287.97,641.921,0.0,2287.97
2024-08-26,8,FR,ES00981,289.344,402.182,112.838,0.0,402.182
