Source:_M:\Work\codes\Energy_vision_scenarios\data\EMPIRE\Data_handler_Trinity_EU\Transmission.xlsx_+_data/IAMC/Spain/Spain_IAMC.xlsx	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES514	ES522	6	1787.47643341108
ES514	ES522	7	1787.47643341108
ES521	ES523	1	4066.50888601021
ES521	ES523	2	4066.50888601021
ES521	ES523	3	4066.50888601021
ES521	ES523	4	4066.50888601021
ES521	ES523	5	4066.50888601021
ES521	ES523	6	4066.50888601021
ES521	ES523	7	4066.50888601021
ES521	ES620	1	14478.5591106297
ES521	ES620	2	14478.5591106297
ES521	ES620	3	14478.5591106297
ES521	ES620	4	14478.5591106297
ES521	ES620	5	14478.5591106297
ES521	ES620	6	14478.5591106297
ES521	ES620	7	14478.5591106297
ES522	ES523	1	4896.43835096491
ES522	ES523	2	4896.43835096491
ES522	ES523	3	4896.43835096491
ES522	ES523	4	4896.43835096491
ES522	ES523	5	4896.43835096491
ES522	ES523	6	4896.43835096491
ES522	ES523	7	4896.43835096491
ES523	ES532	1	400.0
ES523	ES532	2	400.0
ES523	ES532	3	400.0
ES523	ES532	4	400.0
ES523	ES532	5	400.0
ES523	ES532	6	400.0
ES523	ES532	7	400.0
ES611	ES614	1	2770.58847178717
ES611	ES614	2	2770.58847178717
ES611	ES614	3	2770.58847178717
ES611	ES614	4	2770.58847178717
ES611	ES614	5	2770.58847178717
ES611	ES614	6	2770.58847178717
ES611	ES614	7	2770.58847178717
ES611	ES620	1	5362.42930023324
ES611	ES620	2	5362.42930023324
ES611	ES620	3	5362.42930023324
ES611	ES620	4	5362.42930023324
ES611	ES620	5	5362.42930023324
ES611	ES620	6	5362.42930023324
ES611	ES620	7	5362.42930023324
ES612	ES617	1	6524.28898195044
ES612	ES617	2	6524.28898195044
ES612	ES617	3	6524.28898195044
ES612	ES617	4	6524.28898195044
ES612	ES617	5	6524.28898195044
ES612	ES617	6	6524.28898195044
ES612	ES617	7	6524.28898195044
ES612	ES618	1	9116.12981039651
ES612	ES618	2	9116.12981039651
ES612	ES618	3	9116.12981039651
ES612	ES618	4	9116.12981039651
ES612	ES618	5	9116.12981039651
ES612	ES618	6	9116.12981039651
ES612	ES618	7	9116.12981039651
ES613	ES616	1	6345.54133860933
ES613	ES616	2	6345.54133860933
ES613	ES616	3	6345.54133860933
ES613	ES616	4	6345.54133860933
ES613	ES616	5	6345.54133860933
ES613	ES616	6	6345.54133860933
ES613	ES616	7	6345.54133860933
ES613	ES617	1	1787.47643341108
ES613	ES617	2	1787.47643341108
ES613	ES617	3	1787.47643341108
ES613	ES617	4	1787.47643341108
ES613	ES617	5	1787.47643341108
ES613	ES617	6	1787.47643341108
ES613	ES617	7	1787.47643341108
ES613	ES618	1	4066.50888601021
ES613	ES618	2	4066.50888601021
ES613	ES618	3	4066.50888601021
ES613	ES618	4	4066.50888601021
ES613	ES618	5	4066.50888601021
ES613	ES618	6	4066.50888601021
ES613	ES618	7	4066.50888601021
ES614	ES616	1	491.556019188047
ES614	ES616	2	491.556019188047
ES614	ES616	3	491.556019188047
ES614	ES616	4	491.556019188047
ES614	ES616	5	491.556019188047
ES614	ES616	6	491.556019188047
ES614	ES616	7	491.556019188047
ES614	ES617	1	2770.58847178717
ES614	ES617	2	2770.58847178717
ES614	ES617	3	2770.58847178717
ES614	ES617	4	2770.58847178717
ES614	ES617	5	2770.58847178717
ES614	ES617	6	2770.58847178717
ES614	ES617	7	2770.58847178717
ES615	ES618	1	9466.12981039651
ES615	ES618	2	9466.12981039651
ES615	ES618	3	9466.12981039651
ES615	ES618	4	9466.12981039651
ES615	ES618	5	9466.12981039651
ES615	ES618	6	9466.12981039651
ES615	ES618	7	9466.12981039651
ES615	Portugal	1	1787.47643341108
ES615	Portugal	2	1787.47643341108
ES615	Portugal	3	1787.47643341108
ES615	Portugal	4	1787.47643341108
ES615	Portugal	5	1787.47643341108
ES615	Portugal	6	1787.47643341108
ES615	Portugal	7	1787.47643341108
ES617	ES618	1	983.112038376094
ES617	ES618	2	983.112038376094
ES617	ES618	3	983.112038376094
ES617	ES618	4	983.112038376094
ES617	ES618	5	983.112038376094
ES617	ES618	6	983.112038376094
ES617	ES618	7	983.112038376094
