date,hour,branch_id,branch_name,from_bus,to_bus,flow_mw,flow_mvar,limit_mw,loading_pct
2024-07-08,0,638,LTGES0443a,205,80,-484.72,-47.71,2859.96,17.0
2024-07-08,0,966,LTGES0648b,31,29,-24.45,3.51,2859.96,0.9
2024-07-08,0,2265,TR_e1d8c398,467,468,-232.82,-76.74,600.0,40.9
2024-07-08,0,1223,LTGES0803a,150,528,12.36,-1.29,2859.96,0.4
2024-07-08,0,389,LTGES0264,773,1139,75.23,0.71,393.24,19.1
2024-07-08,0,1149,LTGES0757,841,400,96.83,-28.62,393.24,25.7
2024-07-08,0,1923,LTGES1260a,541,544,51.64,4.95,786.49,6.6
2024-07-08,0,219,LTGES0156,190,194,6.13,-3.04,393.24,1.7
2024-07-08,0,559,LTGES0387a,8,823,2.27,33.46,786.49,4.3
2024-07-08,0,1288,LTGES0849a,553,980,24.5,2.96,786.49,3.1
2024-07-08,0,1132,LTGES0747a,932,940,27.26,-1.78,786.49,3.5
2024-07-08,0,1985,LTGES1306,99,1176,2.3,-1.59,1429.98,0.2
2024-07-08,0,1592,LTGES1048a,606,1049,40.73,4.71,786.49,5.2
2024-07-08,0,203,LTGES0147b,176,178,98.38,-66.15,2859.96,4.1
2024-07-08,0,1212,LTGES0797c,181,726,10.74,-1.7,5719.92,0.2
2024-07-08,0,1313,LTGES0864,454,524,-9.89,-2.28,393.24,2.6
2024-07-08,0,1997,LTGES1317,1023,95,-97.45,0.59,393.24,24.8
2024-07-08,0,1876,LTGES1231,149,133,-13.36,1.46,393.24,3.4
2024-07-08,0,1942,LTGES1270b,684,652,-59.96,16.92,2859.96,2.2
2024-07-08,0,799,LTGES0549a,435,443,-27.44,-3.4,786.49,3.5
2024-07-08,0,1110,LTGES0733,509,365,-17.37,-19.16,393.24,6.6
2024-07-08,0,157,LTGES0115b,150,134,-59.74,-13.88,2859.96,2.1
2024-07-08,0,1969,LTGES1294,1171,659,45.29,-0.65,393.24,11.5
2024-07-08,0,1460,LTGES0957,579,580,-93.29,27.53,1429.98,6.8
2024-07-08,0,1049,LTGES0693,1046,489,1.55,-4.47,393.24,1.2
2024-07-08,0,793,LTGES0546a,439,441,-46.91,-11.21,786.49,6.1
2024-07-08,0,57,LTGES0038,684,686,171.31,-3.29,1429.98,12.0
2024-07-08,0,165,LTGES0122,159,161,-65.12,-4.51,393.24,16.6
2024-07-08,0,2271,TR_871b5827,190,191,113.97,31.31,384.0,30.8
2024-07-08,0,876,LTGES0593b,276,461,-22.32,-2.73,786.49,2.9
2024-07-08,0,1075,LTGES0710b,498,925,32.46,4.96,786.49,4.2
2024-07-08,0,2248,TR_98b6cb57,484,485,-45.12,-16.99,384.0,12.6
2024-07-08,0,1162,LTGES0765,482,467,-140.82,4.36,393.24,35.8
2024-07-08,0,2012,LTGES1327b,142,679,42.18,9.04,1572.98,2.7
2024-07-08,0,1267,LTGES0833b,540,780,-13.25,-114.01,2859.96,4.0
2024-07-08,0,973,LTGES0651b,200,903,89.92,-1.61,2859.96,3.1
2024-07-08,0,885,LTGES0599b,275,463,37.14,1.46,786.49,4.7
2024-07-08,0,1271,LTGES0836,108,543,32.21,-4.01,393.24,8.3
2024-07-08,0,1593,LTGES1048b,606,1049,40.73,4.71,786.49,5.2
2024-07-08,0,1830,LTGES1205a,636,1098,-111.48,-16.28,2859.96,3.9
2024-07-08,0,200,LTGES0145,160,725,-16.4,2.69,1429.98,1.2
2024-07-08,0,1085,LTGES0716a,927,177,-53.53,-5.12,786.49,6.8
2024-07-08,0,428,LTGES0294,785,303,61.07,-6.03,393.24,15.6
2024-07-08,0,1158,LTGES0762b,111,946,12.84,-52.07,2859.96,1.9
2024-07-08,0,2005,LTGES1322,1188,57,1.12,-2.02,393.24,0.6
2024-07-08,0,641,LTGES0444b,367,205,-139.86,-59.35,2859.96,5.3
2024-07-08,0,1425,LTGES0936,531,1009,-20.45,2.11,393.24,5.2
2024-07-08,0,1074,LTGES0710a,498,925,32.46,4.96,786.49,4.2
2024-07-08,0,1356,LTGES0894a,162,780,16.43,-4.77,2859.96,0.6
2024-07-08,0,734,LTGES0506a,29,33,-43.46,-14.21,2859.96,1.6
2024-07-08,0,1612,LTGES1063a,1059,609,-7.31,-4.39,786.49,1.1
