date,hour,bus_id,vm_pu,va_deg
2024-07-08,0,ES00468,1.0245,5.465
2024-07-08,0,ES00658,1.0296,1.015
2024-07-08,0,ES01026,1.0243,-1.943
2024-07-08,0,ES01148,1.0265,1.118
2024-07-08,0,ES00788,1.0301,2.021
2024-07-08,0,ES00311,1.0215,2.382
2024-07-08,0,ES00110,1.0313,4.417
2024-07-08,0,ES01166,1.0249,1.048
2024-07-08,0,ES01108,1.0279,4.736
2024-07-08,0,ES00611,1.0283,-1.164
2024-07-08,0,ES00954,1.0247,-1.61
2024-07-08,0,ES00234,1.0276,0.614
2024-07-08,0,ES01048,1.0272,-0.978
2024-07-08,0,ES01080,1.0232,-3.056
2024-07-08,0,ES01035,1.0172,-4.094
2024-07-08,0,ES00387,1.0261,4.541
2024-07-08,0,ES01161,1.031,3.46
2024-07-08,0,ES00176,1.0316,4.182
2024-07-08,0,ES00236,1.0286,0.908
2024-07-08,0,ES00807,1.0298,14.817
2024-07-08,0,ES01227,1.0324,12.306
2024-07-08,0,ES00130,1.0318,3.953
2024-07-08,0,ES00584,1.0252,-1.534
2024-07-08,0,ES01248,1.0281,6.049
2024-07-08,0,ES00910,1.0273,3.121
2024-07-08,0,ES01089,1.0262,1.385
2024-07-08,0,ES00729,1.0309,2.559
2024-07-08,0,ES00108,1.0273,7.334
2024-07-08,0,ES00100,1.0158,-2.869
2024-07-08,0,ES00602,1.024,-3.358
2024-07-08,0,ES01256,1.024,-2.873
2024-07-08,0,ES00046,1.0253,-1.477
2024-07-08,0,ES00537,1.0221,0.256
2024-07-08,0,ES00447,1.0206,-4.737
2024-07-08,0,ES00744,1.0201,-1.142
2024-07-08,0,ES00154,1.0367,6.154
2024-07-08,0,ES00150,1.0259,-0.16
2024-07-08,0,ES00745,1.0191,-3.43
2024-07-08,0,ES00457,1.0275,3.194
2024-07-08,0,ES00345,1.0251,2.322
2024-07-08,0,ES00183,1.0304,4.987
2024-07-08,0,ES00136,1.03,3.235
2024-07-08,0,ES01251,1.0276,7.293
2024-07-08,0,ES00048,1.0256,-7.218
2024-07-08,0,ES00265,1.03,1.185
2024-07-08,0,ES00597,1.0298,14.323
2024-07-08,0,ES00411,1.0235,3.814
2024-07-08,0,ES00032,1.0257,-3.142
2024-07-08,0,ES00408,1.0277,7.295
2024-07-08,0,ES01049,1.0351,-6.872
2024-07-08,0,ES00337,1.0284,3.183
2024-07-08,0,ES00002,1.024,-3.407
2024-07-08,0,ES01201,1.03,2.884
2024-07-08,0,ES00186,1.0298,3.917
2024-07-08,0,ES01142,1.03,4.039
2024-07-08,0,ES00761,1.0299,1.041
2024-07-08,0,ES00051,1.0274,-6.841
2024-07-08,0,ES00858,1.0265,4.664
2024-07-08,0,ES00144,1.0226,-3.753
2024-07-08,0,ES00343,1.0248,2.19
2024-07-08,0,ES00281,1.0262,5.507
2024-07-08,0,ES01079,1.0274,4.321
2024-07-08,0,ES00756,1.0266,-6.896
2024-07-08,0,ES00221,1.0253,-1.353
2024-07-08,0,ES00617,1.022,-3.958
2024-07-08,0,ES00637,1.0186,-4.666
2024-07-08,0,ES00886,1.0301,2.873
2024-07-08,0,ES00841,1.0283,6.647
2024-07-08,0,ES00845,1.0223,0.025
2024-07-08,0,ES00240,1.0307,3.452
2024-07-08,0,ES00722,1.0277,2.982
2024-07-08,0,ES00422,1.027,-6.802
2024-07-08,0,ES01065,1.027,5.992
2024-07-08,0,ES00727,1.0298,9.169
2024-07-08,0,ES00037,1.029,0.503
2024-07-08,0,ES00692,1.0245,-0.866
2024-07-08,0,ES01258,1.0306,-2.614
2024-07-08,0,ES00764,1.0318,1.226
2024-07-08,0,ES00969,1.0289,2.883
2024-07-08,0,ES01222,1.0112,1.538
2024-07-08,0,ES01194,1.0246,1.894
2024-07-08,0,ES00930,1.0214,-3.342
2024-07-08,0,ES00605,1.0281,-7.573
2024-07-08,0,ES00796,1.0271,13.242
2024-07-08,0,ES01096,1.0252,-2.992
2024-07-08,0,ES00679,1.0275,7.22
2024-07-08,0,ES00275,1.0252,1.781
2024-07-08,0,ES01162,1.0253,-2.966
2024-07-08,0,ES01092,1.0302,4.037
2024-07-08,0,ES01147,1.0205,2.849
2024-07-08,0,ES00007,1.0289,3.574
2024-07-08,0,ES01188,1.0298,2.073
2024-07-08,0,ES00804,1.0292,14.639
2024-07-08,0,ES00197,1.0274,5.746
2024-07-08,0,ES00143,1.0243,-3.277
2024-07-08,0,ES00863,1.0186,-3.568
2024-07-08,0,ES00947,1.0282,0.538
2024-07-08,0,ES00215,1.0262,18.372
2024-07-08,0,ES00919,1.0277,-1.84
2024-07-08,0,ES00372,1.0276,4.719
2024-07-08,0,ES00214,1.0273,-2.573
2024-07-08,0,ES00685,1.0257,-0.267
2024-07-08,0,ES00118,1.0264,3.623
2024-07-08,0,ES00286,1.0292,1.59
2024-07-08,0,ES00516,1.0331,1.192
2024-07-08,0,ES01144,1.0271,2.801
2024-07-08,0,ES01036,1.0193,-3.093
2024-07-08,0,ES00822,1.0253,1.134
2024-07-08,0,ES00428,1.0105,0.409
2024-07-08,0,ES00909,1.0298,8.997
2024-07-08,0,ES00551,1.0278,0.162
2024-07-08,0,ES00693,1.029,0.627
2024-07-08,0,ES00304,1.03,11.714
2024-07-08,0,ES01173,1.03,2.969
2024-07-08,0,ES00793,1.0271,13.943
2024-07-08,0,ES00018,1.0243,-2.791
2024-07-08,0,ES00815,1.0337,1.394
2024-07-08,0,ES00805,1.0298,14.807
2024-07-08,0,ES00520,1.0264,-7.009
2024-07-08,0,ES00078,1.0317,1.168
2024-07-08,0,ES01197,1.03,5.948
2024-07-08,0,ES00385,1.0267,4.603
2024-07-08,0,ES00074,1.0268,-1.076
2024-07-08,0,ES01070,1.0245,-3.231
2024-07-08,0,ES00033,1.0262,0.011
2024-07-08,0,ES00052,1.0277,-6.911
2024-07-08,0,ES01045,1.0273,7.332
2024-07-08,0,ES00121,1.0314,1.176
2024-07-08,0,ES00398,1.0277,0.577
2024-07-08,0,ES01084,1.0272,-0.916
2024-07-08,0,ES01074,1.0339,1.447
2024-07-08,0,ES00512,1.0269,0.648
2024-07-08,0,ES00929,1.0214,-3.252
2024-07-08,0,ES00972,1.0236,0.051
2024-07-08,0,ES01175,1.0218,0.191
2024-07-08,0,ES00058,1.0319,5.885
2024-07-08,0,ES01123,1.0277,13.668
2024-07-08,0,ES00169,1.03,9.074
2024-07-08,0,ES00646,1.03,2.956
2024-07-08,0,ES00283,1.0244,5.411
2024-07-08,0,ES00316,1.0125,2.423
2024-07-08,0,ES00651,1.033,4.617
2024-07-08,0,ES00768,1.0302,2.941
2024-07-08,0,ES00948,1.0341,1.523
2024-07-08,0,ES00920,1.0249,-3.099
2024-07-08,0,ES01071,1.0256,1.235
2024-07-08,0,ES01225,1.0309,4.124
2024-07-08,0,ES00099,1.03,5.947
2024-07-08,0,ES00440,1.0217,2.991
2024-07-08,0,ES00288,1.0198,-1.449
2024-07-08,0,ES00436,1.0266,-2.886
2024-07-08,0,ES00966,1.0201,3.701
2024-07-08,0,ES00409,1.0334,5.865
2024-07-08,0,ES00653,1.0303,3.063
